Угол, град;Дальность, м;Время полета, с
15,0;14492,397;34,452
15,0;14512,177;34,538
15,1;14531,912;34,624
15,2;14551,602;34,709
15,2;14571,241;34,795
15,3;14590,823;34,88
15,3;14610,362;34,966
15,4;14629,858;35,051
15,4;14649,312;35,136
15,5;14668,723;35,222
15,5;14688,091;35,307
15,6;14707,406;35,392
15,6;14726,671;35,477
15,7;14745,894;35,562
15,7;14765,075;35,646
15,8;14784,215;35,731
15,8;14803,314;35,816
15,9;14822,373;35,9
15,9;14841,371;35,985
16,0;14860,328;36,069
16,0;14879,247;36,154
16,1;14898,125;36,238
16,1;14916,964;36,322
16,2;14935,764;36,406
16,2;14954,512;36,49
16,3;14973,214;36,574
16,3;14991,878;36,658
16,4;15010,503;36,742
16,4;15029,091;36,826
16,5;15047,641;36,909
16,5;15066,143;36,993
16,6;15084,596;37,077
16,6;15103,011;37,16
16,7;15121,389;37,243
16,7;15139,732;37,327
16,8;15158,039;37,41
16,8;15176,301;37,493
16,9;15194,513;37,576
16,9;15212,689;37,66
17,0;15230,829;37,743
17,0;15248,933;37,826
17,1;15267,003;37,908
17,1;15285,027;37,991
17,2;15303,007;38,074
17,2;15320,952;38,157
17,3;15338,862;38,239
17,3;15356,738;38,322
17,4;15374,579;38,404
17,4;15392,371;38,487
17,5;15410,124;38,569
17,5;15427,843;38,651
17,6;15445,528;38,734
17,6;15463,181;38,816
17,7;15480,798;38,898
17,7;15498,363;38,98
17,8;15515,895;39,062
17,8;15533,394;39,144
17,9;15550,861;39,226
17,9;15568,293;39,308
18,0;15585,681;39,389
18,0;15603,029;39,471
18,1;15620,346;39,553
18,1;15637,633;39,634
18,2;15654,887;39,716
18,2;15672,108;39,797
18,3;15689,278;39,879
18,3;15706,416;39,96
18,4;15723,523;40,042
18,4;15740,6;40,123
18,5;15757,647;40,204
18,5;15774,646;40,285
18,6;15791,61;40,366
18,6;15808,543;40,447
18,7;15825,446;40,528
18,7;15842,318;40,609
18,8;15859,149;40,69
18,8;15875,942;40,771
18,9;15892,707;40,852
18,9;15909,443;40,932
19,0;15926,149;41,013
19,0;15942,818;41,094
19,1;15959,444;41,174
19,1;15976,04;41,255
19,2;15992,608;41,335
19,2;16009,146;41,416
19,3;16025,651;41,496
19,3;16042,111;41,576
19,4;16058,543;41,657
19,4;16074,945;41,737
19,5;16091,32;41,817
19,5;16107,664;41,897
19,6;16123,963;41,977
19,6;16140,233;42,057
19,7;16156,476;42,137
19,7;16172,691;42,217
19,8;16188,877;42,297
19,8;16205,017;42,377
19,9;16221,13;42,457
19,9;16237,215;42,536
20,0;16253,273;42,616
20,0;16269,3;42,696
20,1;16285,282;42,775
20,1;16301,237;42,855
20,2;16317,165;42,934
20,2;16333,068;43,014
20,3;16348,939;43,093
20,3;16364,769;43,173
20,4;16380,572;43,252
20,4;16396,349;43,331
20,5;16412,1;43,411
20,5;16427,814;43,49
20,6;16443,49;43,569
20,6;16459,143;43,648
20,7;16474,77;43,727
20,7;16490,371;43,806
20,8;16505,931;43,885
