Угол, град;Дальность, м;Время полета, с
20,8;16521,46;43,964
20,9;16536,963;44,043
20,9;16552,441;44,122
21,0;16567,895;44,201
21,0;16583,303;44,28
21,1;16598,686;44,358
21,1;16614,044;44,437
21,2;16629,375;44,516
21,2;16644,677;44,594
21,3;16659,938;44,673
21,3;16675,175;44,752
21,4;16690,387;44,83
21,4;16705,574;44,909
21,5;16720,725;44,987
21,5;16735,844;45,065
21,6;16750,938;45,144
21,6;16766,009;45,222
21,7;16781,056;45,3
21,7;16796,059;45,379
21,8;16811,037;45,457
21,8;16825,99;45,535
21,9;16840,919;45,613
21,9;16855,815;45,691
22,0;16870,676;45,769
22,0;16885,515;45,847
22,1;16900,329;45,925
22,1;16915,12;46,003
22,2;16929,869;46,081
22,2;16944,591;46,159
22,3;16959,29;46,237
22,3;16973,965;46,315
22,4;16988,613;46,392
22,4;17003,225;46,47
22,5;17017,812;46,548
22,5;17032,377;46,625
22,6;17046,918;46,703
22,6;17061,418;46,781
22,7;17075,892;46,858
22,7;17090,343;46,936
22,8;17104,772;47,013
22,8;17119,17;47,091
22,9;17133,533;47,168
22,9;17147,874;47,246
23,0;17162,191;47,323
23,0;17176,485;47,4
23,1;17190,739;47,478
23,1;17204,968;47,555
23,2;17219,175;47,632
23,2;17233,36;47,709
23,3;17247,511;47,787
23,3;17261,63;47,864
23,4;17275,728;47,941
23,4;17289,803;48,018
23,5;17303,852;48,095
23,5;17317,862;48,172
23,6;17331,85;48,249
23,6;17345,816;48,326
23,7;17359,76;48,403
23,7;17373,665;48,48
23,8;17387,546;48,557
23,8;17401,405;48,634
23,9;17415,242;48,711
23,9;17429,046;48,787
24,0;17442,819;48,864
24,0;17456,569;48,941
24,1;17470,297;49,018
24,1;17484,001;49,094
24,2;17497,668;49,171
24,2;17511,313;49,248
24,3;17524,936;49,324
24,3;17538,536;49,401
24,4;17552,096;49,478
24,4;17565,631;49,554
24,5;17579,146;49,631
24,5;17592,639;49,707
24,6;17606,098;49,784
24,6;17619,529;49,86
24,7;17632,939;49,937
24,7;17646,327;50,013
24,8;17659,684;50,089
24,8;17673,009;50,166
24,9;17686,314;50,242
24,9;17699,597;50,318
25,0;17712,854;50,395
25,0;17726,077;50,471
25,1;17739,278;50,547
25,1;17752,457;50,623
25,2;17765,614;50,7
25,2;17778,734;50,776
25,3;17791,833;50,852
25,3;17804,911;50,928
25,4;17817,966;51,004
25,4;17830,985;51,08
25,5;17843,98;51,156
25,5;17856,954;51,232
25,6;17869,907;51,308
25,6;17882,827;51,384
25,7;17895,719;51,46
25,7;17908,589;51,536
25,8;17921,437;51,612
25,8;17934,255;51,688
25,9;17947,044;51,763
25,9;17959,814;51,839
26,0;17972,563;51,915
26,0;17985,285;51,991
26,1;17997,974;52,067
26,1;18010,642;52,142
26,2;18023,289;52,218
26,2;18035,91;52,294
26,3;18048,496;52,369
26,3;18061,064;52,445
26,4;18073,61;52,521
26,4;18086,131;52,596
26,5;18098,616;52,672
26,5;18111,08;52,747
26,6;18123,524;52,823
26,6;18135,944;52,898
26,7;18148,329;52,974
26,7;18160,694;53,049
26,8;18173,04;53,125
26,8;18185,365;53,2
26,9;18197,652;53,275
26,9;18209,917;53,351
27,0;18222,161;53,426
27,0;18234,384;53,502
27,1;18246,569;53,577
27,1;18258,733;53,652
27,2;18270,876;53,727
27,2;18282,999;53,803
27,3;18295,085;53,878
27,3;18307,149;53,953
27,4;18319,192;54,028
27,4;18331,216;54,103
27,5;18343,204;54,179
27,5;18355,168;54,254
27,6;18367,112;54,329
27,6;18379,036;54,404
27,7;18390,925;54,479
27,7;18402,791;54,554
27,8;18414,636;54,629
27,8;18426,462;54,704
27,9;18438,251;54,779
27,9;18450,017;54,854
28,0;18461,762;54,929
28,0;18473,486;55,004
28,1;18485,175;55,079
28,1;18496,843;55,154
28,2;18508,491;55,229
28,2;18520,118;55,304
28,3;18531,709;55,378
28,3;18543,276;55,453
28,4;18554,823;55,528
28,4;18566,35;55,603
28,5;18577,84;55,678
28,5;18589,31;55,752
28,6;18600,76;55,827
28,6;18612,189;55,902
28,7;18623,581;55,976
28,7;18634,952;56,051
28,8;18646,301;56,126
28,8;18657,63;56,2
28,9;18668,922;56,275
28,9;18680,194;56,35
29,0;18691,446;56,424
29,0;18702,677;56,499
29,1;18713,871;56,573
29,1;18725,044;56,648
29,2;18736,196;56,722
29,2;18747,326;56,797
29,3;18758,421;56,871
29,3;18769,495;56,946
29,4;18780,549;57,02
29,4;18791,579;57,095
29,5;18802,576;57,169
29,5;18813,553;57,244
29,6;18824,508;57,318
29,6;18835,437;57,392
29,7;18846,335;57,467
29,7;18857,212;57,541
29,8;18868,068;57,615
29,8;18878,897;57,69
29,9;18889,696;57,764
29,9;18900,474;57,838
30,0;18911,232;57,912
30,0;18921,962;57,987
30,1;18932,663;58,061
30,1;18943,343;58,135
30,2;18954,002;58,209
30,2;18964,629;58,283
30,3;18975,229;58,358
30,3;18985,808;58,432
30,4;18996,368;58,506
30,4;19006,897;58,58
30,5;19017,4;58,654
30,5;19027,883;58,728
30,6;19038,345;58,802
30,6;19048,771;58,876
30,7;19059,174;58,95
30,7;19069,557;59,024
30,8;19079,918;59,098
30,8;19090,244;59,172
30,9;19100,549;59,246
30,9;19110,832;59,32
31,0;19121,091;59,394
31,0;19131,315;59,468
31,1;19141,519;59,542
31,1;19151,701;59,616
31,2;19161,858;59,69
31,2;19171,985;59,764
31,3;19182,092;59,837
31,3;19192,178;59,911
31,4;19202,233;59,985
31,4;19212,261;60,059
31,5;19222,267;60,133
31,5;19232,252;60,206
31,6;19242,205;60,28
31,6;19252,133;60,354
31,7;19262,04;60,428
31,7;19271,926;60,501
31,8;19281,776;60,575
31,8;19291,604;60,649
31,9;19301,41;60,722
31,9;19311,192;60,796
32,0;19320,942;60,87
32,0;19330,67;60,943
32,1;19340,377;61,017
32,1;19350,057;61,091
32,2;19359,707;61,164
32,2;19369,335;61,238
32,3;19378,941;61,311
32,3;19388,517;61,385
32,4;19398,066;61,458
32,4;19407,593;61,532
32,5;19417,099;61,605
32,5;19426,571;61,679
32,6;19436,018;61,752
32,6;19445,443;61,826
32,7;19454,848;61,899
32,7;19464,215;61,973
32,8;19473,563;62,046
32,8;19482,889;62,119
32,9;19492,189;62,193
32,9;19501,456;62,266
33,0;19510,7;62,339
33,0;19519,923;62,413
33,1;19529,116;62,486
33,1;19538,281;62,559
33,2;19547,427;62,633
33,2;19556,55;62,706
33,3;19565,64;62,779
33,3;19574,705;62,853
33,4;19583,748;62,926
33,4;19592,768;62,999
33,5;19601,751;63,072
33,5;19610,712;63,145
33,6;19619,652;63,219
33,6;19628,566;63,292
33,7;19637,448;63,365
33,7;19646,308;63,438
33,8;19655,145;63,511
33,8;19663,951;63,584
33,9;19672,729;63,657
33,9;19681,484;63,731
34,0;19690,218;63,804
34,0;19698,917;63,877
34,1;19707,593;63,95
34,1;19716,247;64,023
34,2;19724,877;64,096
34,2;19733,471;64,169
34,3;19742,042;64,242
34,3;19750,591;64,315
34,4;19759,11;64,388
34,4;19767,601;64,461
34,5;19776,07;64,534
34,5;19784,516;64,607
34,6;19792,929;64,679
34,6;19801,316;64,752
34,7;19809,68;64,825
34,7;19818,02;64,898
34,8;19826,323;64,971
34,8;19834,605;65,044
34,9;19842,865;65,117
34,9;19851,095;65,189
35,0;19859,293;65,262
35,0;19867,47;65,335
35,1;19875,625;65,408
35,1;19883,746;65,481
35,2;19891,84;65,553
35,2;19899,911;65,626
35,3;19907,96;65,699
35,3;19915,971;65,772
35,4;19923,96;65,844
35,4;19931,925;65,917
35,5;19939,862;65,99
35,5;19947,768;66,062
35,6;19955,65;66,135
35,6;19963,509;66,208
35,7;19971,334;66,28
35,7;19979,133;66,353
35,8;19986,908;66,425
35,8;19994,658;66,498
35,9;20002,372;66,57
35,9;20010,062;66,643
36,0;20017,73;66,716
36,0;20025,369;66,788
36,1;20032,976;66,861
36,1;20040,561;66,933
36,2;20048,123;67,006
36,2;20055,65;67,078
36,3;20063,149;67,15
36,3;20070,624;67,223
36,4;20078,073;67,295
36,4;20085,486;67,368
36,5;20092,876;67,44
36,5;20100,243;67,512
36,6;20107,58;67,585
36,6;20114,885;67,657
36,7;20122,167;67,73
36,7;20129,425;67,802
36,8;20136,645;67,874
36,8;20143,84;67,946
36,9;20151,011;68,019
36,9;20158,153;68,091
37,0;20165,261;68,163
37,0;20172,348;68,236
37,1;20179,411;68,308
37,1;20186,44;68,38
37,2;20193,44;68,452
37,2;20200,416;68,524
37,3;20207,365;68,597
37,3;20214,278;68,669
37,4;20221,167;68,741
37,4;20228,03;68,813
37,5;20234,862;68,885
37,5;20241,663;68,957
37,6;20248,44;69,029
37,6;20255,191;69,101
37,7;20261,904;69,173
37,7;20268,591;69,245
37,8;20275,253;69,318
37,8;20281,885;69,39
37,9;20288,484;69,462
37,9;20295,059;69,534
38,0;20301,609;69,605
38,0;20308,125;69,677
38,1;20314,613;69,749
38,1;20321,076;69,821
38,2;20327,511;69,893
38,2;20333,91;69,965
38,3;20340,284;70,037
38,3;20346,632;70,109
38,4;20352,945;70,181
38,4;20359,229;70,253
38,5;20365,488;70,324
38,5;20371,719;70,396
38,6;20377,914;70,468
38,6;20384,083;70,54
38,7;20390,225;70,612
38,7;20396,334;70,683
38,8;20402,412;70,755
38,8;20408,463;70,827
38,9;20414,489;70,899
38,9;20420,477;70,97
39,0;20426,436;71,042
39,0;20432,368;71,114
39,1;20438,267;71,185
39,1;20444,133;71,257
39,2;20449,972;71,329
39,2;20455,783;71,4
39,3;20461,555;71,472
39,3;20467,299;71,543
39,4;20473,017;71,615
39,4;20478,702;71,686
39,5;20484,352;71,758
39,5;20489,976;71,829
39,6;20495,572;71,901
39,6;20501,13;71,972
39,7;20506,659;72,044
39,7;20512,161;72,115
39,8;20517,629;72,187
39,8;20523,064;72,258
39,9;20528,472;72,33
39,9;20533,853;72,401
40,0;20539,194;72,472
40,0;20544,507;72,544
40,1;20549,792;72,615
40,1;20555,044;72,687
40,2;20560,262;72,758
40,2;20565,452;72,829
40,3;20570,615;72,9
40,3;20575,736;72,972
40,4;20580,83;73,043
40,4;20585,897;73,114
40,5;20590,927;73,185
40,5;20595,923;73,257
40,6;20600,891;73,328
40,6;20605,83;73,399
40,7;20610,729;73,47
40,7;20615,6;73,541
40,8;20620,443;73,612
40,8;20625,249;73,684
40,9;20630,023;73,755
40,9;20634,768;73,826
41,0;20639,484;73,897
41,0;20644,16;73,968
41,1;20648,807;74,039
41,1;20653,424;74,11
41,2;20658,004;74,181
41,2;20662,551;74,252
41,3;20667,07;74,323
41,3;20671,557;74,394
41,4;20676,005;74,465
41,4;20680,425;74,536
41,5;20684,815;74,606
41,5;20689,167;74,677
41,6;20693,487;74,748
41,6;20697,777;74,819
41,7;20702,033;74,89
41,7;20706,252;74,961
41,8;20710,44;75,031
41,8;20714,6;75,102
41,9;20718,718;75,173
41,9;20722,805;75,244
42,0;20726,863;75,314
42,0;20730,885;75,385
42,1;20734,871;75,456
42,1;20738,827;75,526
42,2;20742,752;75,597
42,2;20746,635;75,668
42,3;20750,488;75,738
42,3;20754,31;75,809
42,4;20758,095;75,879
42,4;20761,846;75,95
42,5;20765,566;76,02
42,5;20769,252;76,091
42,6;20772,9;76,161
42,6;20776,516;76,232
42,7;20780,102;76,302
42,7;20783,645;76,373
42,8;20787,156;76,443
42,8;20790,637;76,514
42,9;20794,079;76,584
42,9;20797,485;76,654
43,0;20800,86;76,725
43,0;20804,202;76,795
43,1;20807,503;76,865
43,1;20810,773;76,936
43,2;20814,013;77,006
43,2;20817,211;77,076
43,3;20820,377;77,146
43,3;20823,511;77,217
43,4;20826,608;77,287
43,4;20829,665;77,357
43,5;20832,691;77,427
43,5;20835,684;77,497
43,6;20838,636;77,567
43,6;20841,556;77,637
43,7;20844,443;77,707
43,7;20847,29;77,777
43,8;20850,102;77,847
43,8;20852,881;77,917
43,9;20855,623;77,987
43,9;20858,326;78,057
44,0;20860,996;78,127
44,0;20863,632;78,197
44,1;20866,225;78,267
44,1;20868,786;78,336
44,2;20871,314;78,406
44,2;20873,8;78,476
44,3;20876,25;78,546
44,3;20878,669;78,615
44,4;20881,049;78,685
44,4;20883,39;78,755
44,5;20885,697;78,825
44,5;20887,969;78,894
44,6;20890,198;78,964
44,6;20892,394;79,033
44,7;20894,556;79,103
44,7;20896,674;79,173
44,8;20898,758;79,242
44,8;20900,809;79,312
44,9;20902,818;79,381
44,9;20904,789;79,45
45,0;20906,727;79,52
45,0;20908,626;79,589
45,1;20910,483;79,659
45,1;20912,306;79,728
45,2;20914,094;79,797
45,2;20915,837;79,867
45,3;20917,545;79,936
45,3;20919,219;80,005
45,4;20920,849;80,075
45,4;20922,442;80,144
45,5;20924,001;80,213
45,5;20925,519;80,282
45,6;20926,996;80,351
45,6;20928,441;80,42
45,7;20929,846;80,489
45,7;20931,208;80,559
45,8;20932,535;80,628
45,8;20933,825;80,697
45,9;20935,07;80,766
45,9;20936,279;80,835
46,0;20937,453;80,904
46,0;20938,581;80,972
46,1;20939,674;81,041
46,1;20940,731;81,11
46,2;20941,744;81,179
46,2;20942,718;81,248
46,3;20943,656;81,317
46,3;20944,553;81,385
46,4;20945,408;81,454
46,4;20946,226;81,523
46,5;20947,005;81,592
46,5;20947,739;81,66
46,6;20948,436;81,729
46,6;20949,095;81,798
46,7;20949,707;81,866
46,7;20950,284;81,935
46,8;20950,823;82,003
46,8;20951,316;82,072
46,9;20951,77;82,14
46,9;20952,188;82,209
47,0;20952,561;82,277
47,0;20952,895;82,345
47,1;20953,192;82,414
47,1;20953,445;82,482
47,2;20953,655;82,55
47,2;20953,828;82,619
47,3;20953,959;82,687
47,3;20954,045;82,755
47,4;20954,093;82,823
47,4;20954,102;82,892
47,5;20954,064;82,96
47,5;20953,989;83,028
47,6;20953,874;83,096
47,6;20953,711;83,164
47,7;20953,51;83,232
47,7;20953,271;83,3
47,8;20952,982;83,368
47,8;20952,655;83,436
47,9;20952,29;83,504
47,9;20951,876;83,572
48,0;20951,422;83,64
48,0;20950,929;83,708
48,1;20950,388;83,775
48,1;20949,806;83,843
48,2;20949,185;83,911
48,2;20948,518;83,979
48,3;20947,806;84,046
48,3;20947,056;84,114
48,4;20946,26;84,182
48,4;20945,42;84,249
48,5;20944,54;84,317
48,5;20943,616;84,384
48,6;20942,647;84,452
48,6;20941,638;84,519
48,7;20940,584;84,587
48,7;20939,484;84,654
48,8;20938,344;84,721
48,8;20937,161;84,789
48,9;20935,931;84,856
48,9;20934,661;84,923
49,0;20933,347;84,991
49,0;20931,984;85,058
49,1;20930,581;85,125
49,1;20929,134;85,192
49,2;20927,638;85,259
49,2;20926,101;85,326
49,3;20924,521;85,393
49,3;20922,891;85,461
49,4;20921,22;85,528
49,4;20919,506;85,594
49,5;20917,742;85,661
49,5;20915,936;85,728
49,6;20914,088;85,795
49,6;20912,188;85,862
49,7;20910,248;85,929
49,7;20908,263;85,996
49,8;20906,228;86,062
49,8;20904,15;86,129
49,9;20902,029;86,196
49,9;20899,856;86,262
50,0;20897,64;86,329
50,0;20895,382;86,396
50,1;20893,071;86,462
50,1;20890,718;86,529
50,2;20888,32;86,595
50,2;20885,871;86,661
50,3;20883,379;86,728
50,3;20880,843;86,794
50,4;20878,257;86,861
50,4;20875,627;86,927
50,5;20872,953;86,993
50,5;20870,226;87,059
50,6;20867,456;87,125
50,6;20864,64;87,192
50,7;20861,772;87,258
50,7;20858,86;87,324
50,8;20855,902;87,39
50,8;20852,892;87,456
50,9;20849,84;87,522
50,9;20846,739;87,588
51,0;20843,587;87,654
51,0;20840,39;87,72
51,1;20837,145;87,785
51,1;20833,85;87,851
51,2;20830,511;87,917
51,2;20827,122;87,983
51,3;20823,683;88,048
51,3;20820,2;88,114
51,4;20816,665;88,18
51,4;20813,082;88,245
51,5;20809,454;88,311
51,5;20805,772;88,376
51,6;20802,043;88,442
51,6;20798,268;88,507
51,7;20794,439;88,572
51,7;20790,562;88,638
51,8;20786,64;88,703
51,8;20782,663;88,768
51,9;20778,639;88,834
51,9;20774,569;88,899
52,0;20770,443;88,964
52,0;20766,272;89,029
52,1;20762,054;89,094
52,1;20757,78;89,159
52,2;20753,46;89,224
52,2;20749,09;89,289
52,3;20744,667;89,354
52,3;20740,197;89,419
52,4;20735,677;89,484
52,4;20731,104;89,548
52,5;20726,485;89,613
52,5;20721,811;89,678
52,6;20717,087;89,743
52,6;20712,315;89,807
52,7;20707,488;89,872
52,7;20702,611;89,936
52,8;20697,687;90,001
52,8;20692,705;90,065
52,9;20687,676;90,13
52,9;20682,599;90,194
53,0;20677,464;90,259
53,0;20672,282;90,323
53,1;20667,048;90,387
53,1;20661,759;90,451
53,2;20656,422;90,515
53,2;20651,031;90,58
53,3;20645,587;90,644
53,3;20640,096;90,708
53,4;20634,547;90,772
53,4;20628,947;90,836
53,5;20623,298;90,9
53,5;20617,589;90,964
53,6;20611,832;91,027
53,6;20606,024;91,091
53,7;20600,158;91,155
53,7;20594,243;91,219
53,8;20588,275;91,282
53,8;20582,253;91,346
53,9;20576,181;91,409
53,9;20570,052;91,473
54,0;20563,87;91,536
54,0;20557,639;91,6
54,1;20551,348;91,663
54,1;20545,007;91,727
54,2;20538,613;91,79
54,2;20532,162;91,853
54,3;20525,66;91,916
54,3;20519,102;91,98
54,4;20512,49;92,043
54,4;20505,827;92,106
54,5;20499,104;92,169
54,5;20492,328;92,232
54,6;20485,501;92,295
54,6;20478,614;92,358
54,7;20471,676;92,42
54,7;20464,683;92,483
54,8;20457,633;92,546
54,8;20450,533;92,609
54,9;20443,373;92,671
54,9;20436,16;92,734
55,0;20428,894;92,796
55,0;20421,567;92,859
55,1;20414,189;92,921
