Угол, град;Дальность, м;Время полета, с
25,7;4029,787;20,558
25,7;4034,785;20,594
25,8;4039,741;20,63
25,8;4044,698;20,666
25,9;4049,663;20,702
25,9;4054,579;20,738
26,0;4059,507;20,774
26,0;4064,427;20,81
26,1;4069,314;20,846
26,1;4074,212;20,882
26,2;4079,089;20,918
26,2;4083,946;20,954
26,3;4088,813;20,99
26,3;4093,647;21,026
26,4;4098,474;21,062
26,4;4103,311;21,098
26,5;4108,102;21,133
26,5;4112,898;21,169
26,6;4117,696;21,205
26,6;4122,452;21,241
26,7;4127,219;21,277
26,7;4131,974;21,312
26,8;4136,699;21,348
26,8;4141,435;21,384
26,9;4146,147;21,419
26,9;4150,842;21,455
27,0;4155,547;21,491
27,0;4160,217;21,526
27,1;4164,881;21,562
27,1;4169,554;21,598
27,2;4174,181;21,633
27,2;4178,814;21,669
27,3;4183,449;21,704
27,3;4188,042;21,74
27,4;4192,643;21,775
27,4;4197,236;21,811
27,5;4201,797;21,846
27,5;4206,367;21,882
27,6;4210,918;21,917
27,6;4215,448;21,953
27,7;4219,986;21,988
27,7;4224,495;22,023
27,8;4228,993;22,059
27,8;4233,5;22,094
27,9;4237,967;22,13
27,9;4242,433;22,165
28,0;4246,908;22,2
28,0;4251,334;22,235
28,1;4255,768;22,271
28,1;4260,201;22,306
28,2;4264,595;22,341
28,2;4268,997;22,376
28,3;4273,389;22,412
28,3;4277,751;22,447
28,4;4282,121;22,482
28,4;4286,471;22,517
28,5;4290,801;22,552
28,5;4295,138;22,587
28,6;4299,448;22,622
28,6;4303,745;22,657
28,7;4308,05;22,693
28,7;4312,319;22,728
28,8;4316,583;22,763
28,8;4320,855;22,798
28,9;4325,083;22,833
28,9;4329,315;22,868
29,0;4333,55;22,903
29,0;4337,742;22,937
29,1;4341,94;22,972
29,1;4346,127;23,007
29,2;4350,274;23,042
29,2;4354,424;23,077
29,3;4358,56;23,112
29,3;4362,665;23,147
29,4;4366,774;23,182
29,4;4370,862;23,217
29,5;4374,928;23,251
29,5;4378,997;23,286
29,6;4383,039;23,321
29,6;4387,066;23,356
29,7;4391,096;23,39
29,7;4395,093;23,425
29,8;4399,081;23,46
29,8;4403,072;23,495
29,9;4407,025;23,529
29,9;4410,973;23,564
30,0;4414,926;23,599
30,0;4418,834;23,633
30,1;4422,745;23,668
30,1;4426,655;23,703
30,2;4430,523;23,737
30,2;4434,395;23,772
30,3;4438,261;23,806
30,3;4442,091;23,841
30,4;4445,924;23,875
30,4;4449,747;23,91
30,5;4453,538;23,944
30,5;4457,333;23,979
30,6;4461,112;24,013
30,6;4464,865;24,048
30,7;4468,621;24,082
30,7;4472,357;24,116
30,8;4476,071;24,151
30,8;4479,788;24,185
30,9;4483,481;24,22
30,9;4487,157;24,254
31,0;4490,835;24,288
31,0;4494,485;24,323
31,1;4498,122;24,357
31,1;4501,762;24,391
31,2;4505,369;24,425
31,2;4508,967;24,459
31,3;4512,567;24,494
31,3;4516,132;24,528
31,4;4519,691;24,562
31,4;4523,252;24,596
31,5;4526,774;24,63
31,5;4530,294;24,664
31,6;4533,816;24,699
31,6;4537,296;24,733
31,7;4540,776;24,767
31,7;4544,258;24,801
31,8;4547,697;24,835
31,8;4551,138;24,869
31,9;4554,577;24,903
31,9;4557,977;24,937
32,0;4561,379;24,971
32,0;4564,776;25,005
32,1;4568,136;25,038
32,1;4571,498;25,072
32,2;4574,853;25,106
32,2;4578,174;25,14
32,3;4581,496;25,174
32,3;4584,81;25,208
32,4;4588,09;25,242
32,4;4591,373;25,275
32,5;4594,645;25,309
32,5;4597,886;25,343
32,6;4601,128;25,377
32,6;4604,359;25,41
32,7;4607,56;25,444
32,7;4610,763;25,478
32,8;4613,951;25,511
32,8;4617,112;25,545
32,9;4620,275;25,578
32,9;4623,423;25,612
33,0;4626,544;25,646
33,0;4629,666;25,679
33,1;4632,772;25,713
33,1;4635,853;25,746
33,2;4638,935;25,78
33,2;4642,0;25,813
33,3;4645,041;25,847
33,3;4648,082;25,88
33,4;4651,107;25,914
33,4;4654,107;25,947
33,5;4657,107;25,98
33,5;4660,091;26,014
33,6;4663,051;26,047
33,6;4666,011;26,08
33,7;4668,954;26,114
33,7;4671,873;26,147
33,8;4674,792;26,18
33,8;4677,695;26,213
33,9;4680,573;26,247
33,9;4683,451;26,28
34,0;4686,314;26,313
34,0;4689,151;26,346
34,1;4691,988;26,379
34,1;4694,811;26,412
34,2;4697,607;26,445
34,2;4700,403;26,479
34,3;4703,185;26,512
34,3;4705,94;26,545
34,4;4708,695;26,578
34,4;4711,437;26,611
34,5;4714,151;26,644
34,5;4716,865;26,677
34,6;4719,566;26,71
34,6;4722,239;26,742
34,7;4724,912;26,775
34,7;4727,574;26,808
34,8;4730,205;26,841
34,8;4732,836;26,874
34,9;4735,458;26,907
34,9;4738,048;26,94
35,0;4740,638;26,972
35,0;4743,22;27,005
35,1;4745,769;27,038
35,1;4748,317;27,071
35,2;4750,859;27,103
35,2;4753,367;27,136
35,3;4755,873;27,169
35,3;4758,376;27,201
35,4;4760,841;27,234
35,4;4763,305;27,266
35,5;4765,768;27,299
35,5;4768,193;27,332
35,6;4770,615;27,364
35,6;4773,036;27,397
35,7;4775,421;27,429
35,7;4777,801;27,462
35,8;4780,18;27,494
35,8;4782,527;27,526
35,9;4784,865;27,559
35,9;4787,202;27,591
36,0;4789,509;27,624
36,0;4791,804;27,656
36,1;4794,099;27,688
36,1;4796,367;27,721
36,2;4798,621;27,753
36,2;4800,873;27,785
36,3;4803,103;27,817
36,3;4805,314;27,85
36,4;4807,523;27,882
36,4;4809,715;27,914
36,5;4811,883;27,946
36,5;4814,05;27,978
36,6;4816,203;28,01
36,6;4818,33;28,042
36,7;4820,453;28,075
36,7;4822,568;28,107
36,8;4824,652;28,139
36,8;4826,733;28,171
36,9;4828,809;28,203
36,9;4830,85;28,235
37,0;4832,889;28,267
37,0;4834,925;28,299
37,1;4836,924;28,33
37,1;4838,92;28,362
37,2;4840,913;28,394
37,2;4842,875;28,426
37,3;4844,828;28,458
37,3;4846,779;28,49
37,4;4848,702;28,521
37,4;4850,612;28,553
37,5;4852,519;28,585
37,5;4854,405;28,617
37,6;4856,272;28,648
37,6;4858,135;28,68
37,7;4859,984;28,712
37,7;4861,808;28,743
37,8;4863,628;28,775
37,8;4865,439;28,806
37,9;4867,219;28,838
37,9;4868,996;28,87
38,0;4870,769;28,901
38,0;4872,506;28,933
38,1;4874,241;28,964
38,1;4875,972;28,996
38,2;4877,67;29,027
38,2;4879,361;29,058
38,3;4881,048;29,09
38,3;4882,709;29,121
38,4;4884,356;29,152
38,4;4886,0;29,184
38,5;4887,624;29,215
38,5;4889,228;29,246
38,6;4890,828;29,278
38,6;4892,415;29,309
38,7;4893,974;29,34
38,7;4895,531;29,371
38,8;4897,081;29,402
38,8;4898,597;29,434
38,9;4900,11;29,465
38,9;4901,618;29,496
39,0;4903,096;29,527
39,0;4904,565;29,558
39,1;4906,03;29,589
39,1;4907,469;29,62
39,2;4908,894;29,651
39,2;4910,315;29,682
39,3;4911,719;29,713
39,3;4913,1;29,744
39,4;4914,477;29,775
39,4;4915,844;29,806
39,5;4917,182;29,836
39,5;4918,515;29,867
39,6;4919,843;29,898
39,6;4921,138;29,929
39,7;4922,427;29,96
39,7;4923,712;29,991
39,8;4924,97;30,021
39,8;4926,215;30,052
39,9;4927,456;30,083
39,9;4928,678;30,113
40,0;4929,88;30,144
40,0;4931,076;30,175
40,1;4932,262;30,205
40,1;4933,418;30,236
40,2;4934,57;30,266
40,2;4935,717;30,297
40,3;4936,833;30,327
40,3;4937,94;30,358
40,4;4939,043;30,388
40,4;4940,123;30,419
40,5;4941,187;30,449
40,5;4942,246;30,479
40,6;4943,289;30,51
40,6;4944,308;30,54
40,7;4945,322;30,57
40,7;4946,33;30,601
40,8;4947,305;30,631
40,8;4948,274;30,661
40,9;4949,239;30,692
40,9;4950,177;30,722
41,0;4951,102;30,752
41,0;4952,023;30,782
41,1;4952,926;30,812
41,1;4953,806;30,842
41,2;4954,681;30,872
41,2;4955,548;30,903
41,3;4956,384;30,933
41,3;4957,215;30,963
41,4;4958,04;30,993
41,4;4958,838;31,023
41,5;4959,624;31,053
41,5;4960,405;31,082
41,6;4961,169;31,112
41,6;4961,91;31,142
41,7;4962,646;31,172
41,7;4963,374;31,202
41,8;4964,07;31,232
41,8;4964,761;31,262
41,9;4965,447;31,291
41,9;4966,106;31,321
42,0;4966,752;31,351
42,0;4967,393;31,381
42,1;4968,018;31,41
42,1;4968,62;31,44
42,2;4969,216;31,47
42,2;4969,805;31,499
42,3;4970,362;31,529
42,3;4970,912;31,558
42,4;4971,457;31,588
42,4;4971,98;31,617
42,5;4972,485;31,647
42,5;4972,985;31,676
42,6;4973,473;31,706
42,6;4973,934;31,735
42,7;4974,389;31,765
42,7;4974,837;31,794
42,8;4975,259;31,823
42,8;4975,668;31,853
42,9;4976,071;31,882
42,9;4976,458;31,911
43,0;4976,822;31,94
43,0;4977,181;31,97
43,1;4977,533;31,999
43,1;4977,853;32,028
43,2;4978,166;32,057
43,2;4978,473;32,086
43,3;4978,759;32,116
43,3;4979,027;32,145
43,4;4979,289;32,174
43,4;4979,542;32,203
43,5;4979,765;32,232
43,5;4979,981;32,261
43,6;4980,19;32,29
43,6;4980,377;32,319
43,7;4980,548;32,348
43,7;4980,712;32,376
43,8;4980,865;32,405
43,8;4980,991;32,434
43,9;4981,11;32,463
43,9;4981,222;32,492
44,0;4981,31;32,521
44,0;4981,384;32,549
44,1;4981,452;32,578
44,1;4981,506;32,607
44,2;4981,534;32,636
44,2;4981,556;32,664
44,3;4981,57;32,693
44,3;4981,559;32,721
44,4;4981,536;32,75
44,4;4981,505;32,779
44,5;4981,461;32,807
44,5;4981,392;32,836
44,6;4981,316;32,864
44,6;4981,233;32,893
44,7;4981,125;32,921
44,7;4981,004;32,949
44,8;4980,876;32,978
44,8;4980,735;33,006
44,9;4980,567;33,035
44,9;4980,393;33,063
45,0;4980,211;33,091
45,0;4980,006;33,12
45,1;4979,787;33,148
45,1;4979,56;33,176
45,2;4979,322;33,204
45,2;4979,057;33,232
45,3;4978,785;33,26
45,3;4978,505;33,289
45,4;4978,204;33,317
45,4;4977,886;33,345
45,5;4977,562;33,373
45,5;4977,228;33,401
45,6;4976,865;33,429
45,6;4976,494;33,457
45,7;4976,115;33,485
45,7;4975,718;33,513
45,8;4975,302;33,541
45,8;4974,878;33,569
45,9;4974,447;33,596
45,9;4973,988;33,624
46,0;4973,518;33,652
46,0;4973,041;33,68
46,1;4972,55;33,708
46,1;4972,035;33,735
46,2;4971,512;33,763
46,2;4970,982;33,791
46,3;4970,429;33,818
46,3;4969,861;33,846
46,4;4969,285;33,874
46,4;4968,699;33,901
46,5;4968,085;33,929
46,5;4967,463;33,956
46,6;4966,833;33,984
46,6;4966,186;34,011
46,7;4965,519;34,039
46,7;4964,844;34,066
46,8;4964,16;34,094
46,8;4963,452;34,121
46,9;4962,731;34,148
46,9;4962,002;34,176
47,0;4961,263;34,203
47,0;4960,497;34,23
47,1;4959,722;34,258
47,1;4958,94;34,285
47,2;4958,14;34,312
47,2;4957,319;34,339
47,3;4956,49;34,366
47,3;4955,653;34,394
47,4;4954,792;34,421
47,4;4953,918;34,448
47,5;4953,036;34,475
47,5;4952,144;34,502
47,6;4951,225;34,529
47,6;4950,297;34,556
47,7;4949,36;34,583
47,7;4948,408;34,61
47,8;4947,435;34,637
47,8;4946,453;34,663
47,9;4945,463;34,69
47,9;4944,451;34,717
48,0;4943,424;34,744
48,0;4942,389;34,771
48,1;4941,344;34,798
48,1;4940,272;34,824
48,2;4939,19;34,851
48,2;4938,1;34,878
48,3;4936,998;34,904
48,3;4935,871;34,931
48,4;4934,735;34,957
48,4;4933,591;34,984
48,5;4932,43;35,011
48,5;4931,248;35,037
48,6;4930,058;35,064
48,6;4928,86;35,09
48,7;4927,64;35,117
48,7;4926,405;35,143
48,8;4925,161;35,169
48,8;4923,908;35,196
48,9;4922,63;35,222
48,9;4921,341;35,248
49,0;4920,042;35,275
49,0;4918,733;35,301
49,1;4917,398;35,327
49,1;4916,053;35,353
49,2;4914,7;35,38
49,2;4913,334;35,406
49,3;4911,944;35,432
49,3;4910,545;35,458
49,4;4909,138;35,484
49,4;4907,714;35,51
49,5;4906,27;35,536
49,5;4904,817;35,562
49,6;4903,355;35,588
49,6;4901,873;35,614
49,7;4900,375;35,64
49,7;4898,868;35,666
49,8;4897,351;35,692
49,8;4895,813;35,718
49,9;4894,261;35,743
49,9;4892,698;35,769
50,0;4891,127;35,795
50,0;4889,531;35,821
50,1;4887,923;35,847
50,1;4886,306;35,872
50,2;4884,68;35,898
50,2;4883,028;35,924
50,3;4881,366;35,949
50,3;4879,695;35,975
50,4;4878,014;36,0
50,4;4876,306;36,026
50,5;4874,589;36,051
50,5;4872,863;36,077
50,6;4871,126;36,102
50,6;4869,364;36,128
50,7;4867,593;36,153
50,7;4865,812;36,179
50,8;4864,019;36,204
50,8;4862,203;36,229
50,9;4860,377;36,254
50,9;4858,542;36,28
51,0;4856,693;36,305
51,0;4854,821;36,33
51,1;4852,94;36,355
51,1;4851,049;36,381
51,2;4849,145;36,406
51,2;4847,219;36,431
51,3;4845,284;36,456
51,3;4843,339;36,481
51,4;4841,38;36,506
51,4;4839,399;36,531
51,5;4837,409;36,556
51,5;4835,409;36,581
51,6;4833,395;36,606
51,6;4831,36;36,631
51,7;4829,315;36,656
51,7;4827,26;36,681
51,8;4825,192;36,705
51,8;4823,102;36,73
51,9;4821,003;36,755
51,9;4818,894;36,78
52,0;4816,772;36,804
52,0;4814,627;36,829
52,1;4812,472;36,854
52,1;4810,308;36,878
52,2;4808,131;36,903
52,2;4805,931;36,927
52,3;4803,722;36,952
52,3;4801,503;36,977
52,4;4799,273;37,001
52,4;4797,019;37,026
52,5;4794,755;37,05
52,5;4792,481;37,074
52,6;4790,198;37,099
52,6;4787,889;37,123
52,7;4785,57;37,147
52,7;4783,241;37,172
52,8;4780,903;37,196
52,8;4778,541;37,22
52,9;4776,168;37,245
52,9;4773,785;37,269
53,0;4771,392;37,293
53,0;4768,978;37,317
53,1;4766,55;37,341
53,1;4764,112;37,365
53,2;4761,664;37,389
53,2;4759,197;37,413
53,3;4756,714;37,437
53,3;4754,221;37,461
53,4;4751,718;37,485
53,4;4749,199;37,509
53,5;4746,661;37,533
53,5;4744,113;37,557
53,6;4741,556;37,581
53,6;4738,985;37,605
53,7;4736,393;37,628
53,7;4733,791;37,652
53,8;4731,179;37,676
53,8;4728,556;37,7
53,9;4725,909;37,723
53,9;4723,252;37,747
54,0;4720,585;37,771
54,0;4717,908;37,794
54,1;4715,21;37,818
54,1;4712,499;37,841
54,2;4709,777;37,865
54,2;4707,046;37,888
54,3;4704,297;37,912
54,3;4701,531;37,935
54,4;4698,756;37,959
54,4;4695,969;37,982
54,5;4693,169;38,005
54,5;4690,348;38,029
54,6;4687,517;38,052
54,6;4684,676;38,075
54,7;4681,824;38,098
54,7;4678,95;38,122
54,8;4676,065;38,145
54,8;4673,169;38,168
54,9;4670,263;38,191
54,9;4667,339;38,214
55,0;4664,4;38,237
55,0;4661,45;38,26
55,1;4658,49;38,283
